plate,comp,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_frac,label,conf,top1,top2,top3,top4,top5
mixed_raw/mixed_001.jpg,0,56,52,303,382,187.3,221.6,0.2038,5,0.243,5|鱼香茄子|0.243,26|炒花菜|0.209,3|鱼香肉丝|0.186,1|宫保鸡丁|0.102,2|回锅肉|0.075
mixed_raw/mixed_001.jpg,1,385,42,94,116,427.6,99.1,0.0261,31,0.209,31|红烧牛肉|0.209,5|鱼香茄子|0.196,18|葱爆羊肉|0.141,11|糖醋排骨|0.126,2|回锅肉|0.053
mixed_raw/mixed_002.jpg,0,0,217,116,257,46.2,353.3,0.0513,3,0.613,3|鱼香肉丝|0.613,40|凉面|0.239,41|炒面|0.033,17|炸酱面|0.030,44|米饭|0.019
mixed_raw/mixed_002.jpg,1,298,86,133,112,363.0,139.6,0.0305,48,0.808,48|双皮奶|0.808,44|米饭|0.101,27|蒸蛋羹|0.045,43|白粥|0.035,49|冰淇淋|0.010
mixed_raw/mixed_002.jpg,2,202,207,91,87,246.0,255.3,0.0138,28,0.483,28|可乐鸡翅|0.483,11|糖醋排骨|0.263,31|红烧牛肉|0.198,18|葱爆羊肉|0.034,30|爆炒腰花|0.005
mixed_raw/mixed_002.jpg,3,305,572,78,89,341.6,616.7,0.0136,49,0.814,49|冰淇淋|0.814,48|双皮奶|0.074,44|米饭|0.052,47|面包|0.033,37|小笼包|0.023
mixed_raw/mixed_002.jpg,4,331,290,99,73,379.0,328.6,0.0123,31,0.624,31|红烧牛肉|0.624,18|葱爆羊肉|0.258,30|爆炒腰花|0.031,11|糖醋排骨|0.029,33|糖醋鱼|0.021
mixed_raw/mixed_003.jpg,0,193,0,408,497,428.2,220.8,0.3698,44,0.386,44|米饭|0.386,45|炒菠菜|0.099,31|红烧牛肉|0.096,11|糖醋排骨|0.090,16|扬州炒饭|0.084
mixed_raw/mixed_003.jpg,1,30,251,193,248,118.7,381.0,0.094,31,0.943,31|红烧牛肉|0.943,11|糖醋排骨|0.050,30|爆炒腰花|0.004,18|葱爆羊肉|0.002,10|红烧肉|0.001
mixed_raw/mixed_003.jpg,2,27,99,114,87,84.1,142.8,0.0248,44,0.857,44|米饭|0.857,49|冰淇淋|0.076,48|双皮奶|0.020,27|蒸蛋羹|0.015,24|凉拌西红柿|0.007
mixed_raw/mixed_003.jpg,3,127,0,113,72,184.8,30.5,0.0209,44,0.387,44|米饭|0.387,49|冰淇淋|0.244,33|糖醋鱼|0.177,31|红烧牛肉|0.062,43|白粥|0.039
mixed_raw/mixed_003.jpg,4,5,0,71,64,42.7,31.6,0.0136,44,0.581,44|米饭|0.581,47|面包|0.186,49|冰淇淋|0.084,31|红烧牛肉|0.040,18|葱爆羊肉|0.020
mixed_raw/mixed_004.jpg,0,0,314,499,353,274.8,510.6,0.3065,44,0.699,44|米饭|0.699,16|扬州炒饭|0.247,26|炒花菜|0.019,1|宫保鸡丁|0.007,11|糖醋排骨|0.004
mixed_raw/mixed_004.jpg,1,0,0,500,152,246.3,61.6,0.1823,26,0.915,26|炒花菜|0.915,16|扬州炒饭|0.041,1|宫保鸡丁|0.014,3|鱼香肉丝|0.010,5|鱼香茄子|0.006
