plate,comp,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_frac,label,conf,top1,top2,top3,top4,top5
mixed_raw/mixed_001.jpg,0,21,26,459,551,246.3,310.2,0.6182,3,0.294,3|鱼香肉丝|0.294,26|炒花菜|0.163,5|鱼香茄子|0.131,2|回锅肉|0.122,31|红烧牛肉|0.060
mixed_raw/mixed_002.jpg,0,21,73,459,647,242.0,378.7,0.5387,11,0.33,11|糖醋排骨|0.330,31|红烧牛肉|0.220,3|鱼香肉丝|0.140,18|葱爆羊肉|0.064,44|米饭|0.060
mixed_raw/mixed_003.jpg,0,25,63,552,417,306.5,259.8,0.606,31,0.34,31|红烧牛肉|0.340,11|糖醋排骨|0.275,44|米饭|0.125,1|宫保鸡丁|0.053,26|炒花菜|0.046
mixed_raw/mixed_004.jpg,0,21,27,459,570,240.8,316.3,0.5822,26,0.835,26|炒花菜|0.835,44|米饭|0.040,1|宫保鸡丁|0.032,16|扬州炒饭|0.027,22|蚝油西兰花|0.024
mixed_raw/mixed_005.jpg,0,21,27,459,600,252.6,332.2,0.636,44,0.27,16|扬州炒饭|0.270,44|米饭|0.186,26|炒花菜|0.173,1|宫保鸡丁|0.141,3|鱼香肉丝|0.066
mixed_raw/mixed_006.jpg,0,21,27,458,614,237.9,329.5,0.6032,31,0.282,31|红烧牛肉|0.282,11|糖醋排骨|0.281,33|糖醋鱼|0.108,26|炒花菜|0.047,40|凉面|0.041
mixed_raw/mixed_007.jpg,0,22,27,440,614,247.9,336.5,0.6306,44,0.621,44|米饭|0.621,16|扬州炒饭|0.091,45|炒菠菜|0.043,40|凉面|0.036,41|炒面|0.035
mixed_raw/mixed_008.jpg,0,21,27,459,614,246.6,337.8,0.6496,5,0.15,5|鱼香茄子|0.150,40|凉面|0.135,3|鱼香肉丝|0.111,1|宫保鸡丁|0.070,31|红烧牛肉|0.069
mixed_raw/mixed_009.jpg,0,21,27,459,437,247.6,226.7,0.3659,35,0.885,35|麻辣虾|0.885,45|炒菠菜|0.031,22|蚝油西兰花|0.022,18|葱爆羊肉|0.016,9|蚝油生菜|0.016
mixed_raw/mixed_009.jpg,1,65,360,379,267,253.6,493.5,0.2203,35,0.998,35|麻辣虾|0.998,45|炒菠菜|0.001,33|糖醋鱼|0.000,2|回锅肉|0.000,11|糖醋排骨|0.000
mixed_raw/mixed_010.jpg,0,23,28,457,573,250.2,337.1,0.5526,20,0.321,20|家常豆腐|0.321,45|炒菠菜|0.229,5|鱼香茄子|0.096,2|回锅肉|0.092,26|炒花菜|0.052
mixed_raw/mixed_011.jpg,0,21,27,459,594,236.8,350.5,0.4976,31,0.844,31|红烧牛肉|0.844,18|葱爆羊肉|0.105,11|糖醋排骨|0.014,33|糖醋鱼|0.007,2|回锅肉|0.006
mixed_raw/mixed_012.jpg,0,21,28,459,404,250.9,223.3,0.3466,45,0.577,45|炒菠菜|0.577,9|蚝油生菜|0.112,11|糖醋排骨|0.094,1|宫保鸡丁|0.055,22|蚝油西兰花|0.050
mixed_raw/mixed_012.jpg,1,73,356,364,270,256.2,499.5,0.2014,34,0.577,34|剁椒鱼头|0.577,4|水煮鱼|0.147,11|糖醋排骨|0.069,33|糖醋鱼|0.066,30|爆炒腰花|0.050
mixed_raw/mixed_013.jpg,0,33,119,735,906,404.3,572.8,0.5868,29,0.463,29|辣子鸡|0.463,30|爆炒腰花|0.146,2|回锅肉|0.143,5|鱼香茄子|0.066,11|糖醋排骨|0.051
mixed_raw/mixed_014.jpg,0,21,28,459,613,256.9,334.3,0.6254,11,0.479,11|糖醋排骨|0.479,30|爆炒腰花|0.129,33|糖醋鱼|0.092,35|麻辣虾|0.087,31|红烧牛肉|0.061
mixed_raw/mixed_015.jpg,0,21,27,459,605,249.6,330.3,0.6508,35,0.498,35|麻辣虾|0.498,19|香辣小龙虾|0.322,11|糖醋排骨|0.096,31|红烧牛肉|0.019,29|辣子鸡|0.013
mixed_raw/mixed_016.jpg,0,33,311,735,700,405.5,644.5,0.4736,33,0.167,33|糖醋鱼|0.167,5|鱼香茄子|0.151,35|麻辣虾|0.125,11|糖醋排骨|0.118,31|红烧牛肉|0.096
mixed_raw/mixed_017.jpg,0,22,82,457,436,240.5,310.4,0.3848,18,0.442,18|葱爆羊肉|0.442,44|米饭|0.235,9|蚝油生菜|0.086,45|炒菠菜|0.075,2|回锅肉|0.031
mixed_raw/mixed_018.jpg,0,22,246,455,632,294.5,479.0,0.1684,44,0.804,44|米饭|0.804,31|红烧牛肉|0.104,18|葱爆羊肉|0.032,16|扬州炒饭|0.018,33|糖醋鱼|0.008
mixed_raw/mixed_018.jpg,1,72,577,403,488,349.1,755.5,0.0908,44,0.538,44|米饭|0.538,31|红烧牛肉|0.186,33|糖醋鱼|0.092,11|糖醋排骨|0.090,16|扬州炒饭|0.039
mixed_raw/mixed_019.jpg,0,30,95,449,466,253.4,313.1,0.3994,18,0.428,18|葱爆羊肉|0.428,44|米饭|0.201,9|蚝油生菜|0.086,41|炒面|0.058,45|炒菠菜|0.053
mixed_raw/mixed_020.jpg,0,21,56,459,576,265.0,376.7,0.453,16,0.934,16|扬州炒饭|0.934,44|米饭|0.032,40|凉面|0.009,32|酸菜鱼|0.004,33|糖醋鱼|0.003
mixed_raw/mixed_021.jpg,0,22,23,472,447,257.7,243.6,0.5719,44,0.435,44|米饭|0.435,16|扬州炒饭|0.236,31|红烧牛肉|0.217,7|西红柿炒蛋|0.039,11|糖醋排骨|0.018
mixed_raw/mixed_022.jpg,0,21,30,457,611,244.7,305.8,0.4837,44,0.591,44|米饭|0.591,18|葱爆羊肉|0.118,31|红烧牛肉|0.105,11|糖醋排骨|0.053,28|可乐鸡翅|0.019
mixed_raw/mixed_023.jpg,0,21,39,459,586,248.9,327.0,0.6358,31,0.841,31|红烧牛肉|0.841,11|糖醋排骨|0.107,30|爆炒腰花|0.030,5|鱼香茄子|0.012,44|米饭|0.003
mixed_raw/mixed_024.jpg,0,21,27,459,553,263.3,277.6,0.4623,45,0.55,45|炒菠菜|0.550,44|米饭|0.300,22|蚝油西兰花|0.080,9|蚝油生菜|0.027,16|扬州炒饭|0.012
mixed_raw/mixed_025.jpg,0,33,113,735,695,417.9,439.9,0.4962,16,0.348,16|扬州炒饭|0.348,44|米饭|0.250,18|葱爆羊肉|0.234,31|红烧牛肉|0.057,7|西红柿炒蛋|0.037
mixed_raw/mixed_026.jpg,0,21,86,459,450,260.3,337.6,0.4353,16,0.601,16|扬州炒饭|0.601,44|米饭|0.272,41|炒面|0.048,40|凉面|0.011,5|鱼香茄子|0.010
mixed_raw/mixed_027.jpg,0,35,43,733,982,398.1,537.7,0.6279,30,0.558,30|爆炒腰花|0.558,29|辣子鸡|0.189,11|糖醋排骨|0.054,5|鱼香茄子|0.046,2|回锅肉|0.025
mixed_raw/mixed_028.jpg,0,21,28,455,613,262.5,330.2,0.5816,44,0.265,44|米饭|0.265,16|扬州炒饭|0.234,45|炒菠菜|0.177,31|红烧牛肉|0.065,33|糖醋鱼|0.032
mixed_raw/mixed_029.jpg,0,21,27,459,599,250.4,326.6,0.6607,19,0.756,19|香辣小龙虾|0.756,36|螃蟹|0.087,4|水煮鱼|0.062,35|麻辣虾|0.037,32|酸菜鱼|0.024
mixed_raw/mixed_030.jpg,0,21,27,459,614,246.7,336.0,0.6518,19,0.998,19|香辣小龙虾|0.998,29|辣子鸡|0.000,11|糖醋排骨|0.000,35|麻辣虾|0.000,4|水煮鱼|0.000
mixed_raw/mixed_031.jpg,0,21,27,459,611,269.8,312.2,0.541,45,0.675,45|炒菠菜|0.675,33|糖醋鱼|0.180,2|回锅肉|0.043,9|蚝油生菜|0.042,11|糖醋排骨|0.016
mixed_raw/mixed_032.jpg,0,21,26,459,587,251.5,322.8,0.6363,31,0.396,31|红烧牛肉|0.396,18|葱爆羊肉|0.166,11|糖醋排骨|0.057,4|水煮鱼|0.047,2|回锅肉|0.041
mixed_raw/mixed_033.jpg,0,28,157,607,323,322.7,308.0,0.4313,31,0.264,31|红烧牛肉|0.264,44|米饭|0.262,11|糖醋排骨|0.245,18|葱爆羊肉|0.088,33|糖醋鱼|0.054
mixed_raw/mixed_034.jpg,0,36,83,669,397,364.7,267.8,0.5629,44,0.411,44|米饭|0.411,22|蚝油西兰花|0.107,1|宫保鸡丁|0.084,31|红烧牛肉|0.083,33|糖醋鱼|0.045
mixed_raw/mixed_035.jpg,0,35,25,782,455,395.0,245.6,0.5525,33,0.986,33|糖醋鱼|0.986,5|鱼香茄子|0.003,11|糖醋排骨|0.003,31|红烧牛肉|0.002,32|酸菜鱼|0.001
mixed_raw/mixed_036.jpg,0,94,21,545,459,348.1,246.9,0.5298,44,0.472,44|米饭|0.472,16|扬州炒饭|0.215,1|宫保鸡丁|0.067,3|鱼香肉丝|0.049,26|炒花菜|0.033
mixed_raw/mixed_037.jpg,0,27,46,611,434,323.1,247.8,0.5929,1,0.175,1|宫保鸡丁|0.175,31|红烧牛肉|0.174,44|米饭|0.161,11|糖醋排骨|0.077,5|鱼香茄子|0.058
mixed_raw/mixed_038.jpg,0,22,16,503,350,266.9,182.9,0.5951,44,0.911,44|米饭|0.911,22|蚝油西兰花|0.018,45|炒菠菜|0.017,1|宫保鸡丁|0.016,26|炒花菜|0.009
mixed_raw/mixed_039.jpg,0,21,31,459,610,256.8,330.1,0.6254,31,0.544,31|红烧牛肉|0.544,18|葱爆羊肉|0.129,45|炒菠菜|0.049,5|鱼香茄子|0.046,9|蚝油生菜|0.044
mixed_raw/mixed_040.jpg,0,48,68,432,387,257.9,252.5,0.4667,44,0.955,44|米饭|0.955,16|扬州炒饭|0.025,22|蚝油西兰花|0.009,45|炒菠菜|0.004,20|家常豆腐|0.002
