plate,gt_comp,gt_label,pred_label,conf,region_area_ratio,pred_weight_g,gt_weight_g
mixed/plate_0001.jpg,1,20,20,0.989,0.117,150.0,150.5
mixed/plate_0001.jpg,0,7,7,0.977,0.077,220.0,210.8
mixed/plate_0002.jpg,0,41,41,0.944,0.126,300.0,260.3
mixed/plate_0002.jpg,1,6,40,0.542,0.088,300.0,224.3
mixed/plate_0003.jpg,0,39,39,0.97,0.134,300.0,367.8
mixed/plate_0003.jpg,1,35,35,0.998,0.087,220.0,196.0
mixed/plate_0004.jpg,0,35,19,0.735,0.117,120.0,284.6
mixed/plate_0004.jpg,1,46,46,1.0,0.082,150.0,109.7
mixed/plate_0005.jpg,0,28,28,0.999,0.126,220.0,185.5
mixed/plate_0005.jpg,1,15,37,0.784,0.093,300.0,314.0
mixed/plate_0006.jpg,0,5,31,0.67,0.137,220.0,218.0
mixed/plate_0006.jpg,1,7,7,0.995,0.133,220.0,169.1
mixed/plate_0007.jpg,1,0,0,0.99,0.126,220.0,234.7
mixed/plate_0007.jpg,0,28,28,0.794,0.104,220.0,216.9
mixed/plate_0008.jpg,0,43,43,1.0,0.107,300.0,287.9
mixed/plate_0008.jpg,1,20,0,0.859,0.09,220.0,120.0
mixed/plate_0009.jpg,0,16,44,0.851,0.117,300.0,321.9
mixed/plate_0009.jpg,1,22,22,0.997,0.098,120.0,107.5
mixed/plate_0010.jpg,1,32,32,0.834,0.106,220.0,246.1
mixed/plate_0010.jpg,0,47,42,0.665,0.097,300.0,159.9
mixed/plate_0011.jpg,0,46,46,1.0,0.104,150.0,173.4
mixed/plate_0011.jpg,1,21,21,1.0,0.094,150.0,165.7
mixed/plate_0012.jpg,1,18,18,0.983,0.106,220.0,248.1
mixed/plate_0012.jpg,0,34,34,0.973,0.095,220.0,224.8
mixed/plate_0013.jpg,1,41,41,0.654,0.114,300.0,236.4
mixed/plate_0013.jpg,0,9,9,0.924,0.101,120.0,115.5
mixed/plate_0014.jpg,1,19,19,0.999,0.122,120.0,90.2
mixed/plate_0014.jpg,0,36,36,1.0,0.098,120.0,115.5
mixed/plate_0015.jpg,1,29,29,0.972,0.12,220.0,240.0
mixed/plate_0015.jpg,0,23,28,0.481,0.096,220.0,133.8
mixed/plate_0016.jpg,0,25,25,0.943,0.097,150.0,125.9
mixed/plate_0016.jpg,1,37,48,0.454,0.024,300.0,292.2
mixed/plate_0017.jpg,0,7,7,0.983,0.122,220.0,210.8
mixed/plate_0017.jpg,1,27,27,0.999,0.042,150.0,173.9
mixed/plate_0018.jpg,1,25,25,0.994,0.104,150.0,178.8
mixed/plate_0018.jpg,0,31,31,0.733,0.088,220.0,240.4
mixed/plate_0019.jpg,0,26,26,0.736,0.094,120.0,118.6
mixed/plate_0019.jpg,1,36,18,0.297,0.084,220.0,126.5
mixed/plate_0020.jpg,1,1,1,0.939,0.113,220.0,185.9
mixed/plate_0020.jpg,0,33,26,0.5,0.105,120.0,172.1
mixed/plate_0021.jpg,0,49,49,0.999,0.101,150.0,134.9
